ID,Age,Prof,Level,Place,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,GF01,GF02,GF03,GF04,GF05,GF06,GF07,GF08,GF09,GF10,GF11,GF12,UF01,UF02,UF03,UF04,UF05,UF06,UF07,UF08,UF09,UF10,UF11,UF12,UF13,UF14,UF15,UF16,UF17,UF18,UF19,UF20,UF21,UF22,UF23,UF24,UF25,UF26,UF27,UF28,UF29,UF30,UF31,UF32,UF33,UF34,UF35,UF36,ZA01,ZA02,ZA03,ZA04,ZA05,ZA06,ZB01,ZB02,ZB03,ZB04,ZB05,ZB06,ZC01,ZC02,ZC03,ZC04,ZC05,ZC06,ZD01,ZD02,ZD03,ZD04,ZD05,ZD06,ZGF01,ZGF02,ZGF03,ZGF04,ZGF05,ZGF06,ZGF07,ZGF08,ZGF09,ZGF10,ZGF11,ZGF12,ZUF01,ZUF02,ZUF03,ZUF04,ZUF05,ZUF06,ZUF07,ZUF08,ZUF09,ZUF10,ZUF11,ZUF12,ZUF13,ZUF14,ZUF15,ZUF16,ZUF17,ZUF18,ZUF19,ZUF20,ZUF21,ZUF22,ZUF23,ZUF24,ZUF25,ZUF26,ZUF27,ZUF28,ZUF29,ZUF30,ZUF31,ZUF32,ZUF33,ZUF34,ZUF35,ZUF36
JE47,19,18,Int,Jordan,6,6,5,4,5,6,6,4,4,3,6,6,4,4,4,5,3,3,3,5,4,5,5,4,6,7,6,7,7,5,6,6,6,6,5,5,7,7,7,6,7,6,6,5,7,7,6,6,4,3,5,5,3,2,3,2,2,2,5,1,5,5,3,2,4,4,2,2,4,2,5,4,-0.841356817,-0.841356817,-0.214814506,0.411727804,-0.214814506,-0.841356817,-0.841356817,0.411727804,0.411727804,1.038270114,-0.841356817,-0.841356817,0.411727804,0.411727804,0.411727804,-0.214814506,1.038270114,1.038270114,1.038270114,-0.214814506,0.411727804,-0.214814506,-0.214814506,0.411727804,-0.841356817,-1.467899127,-0.841356817,-1.467899127,-1.467899127,-0.214814506,-0.841356817,-0.841356817,-0.841356817,-0.841356817,-0.214814506,-0.214814506,-1.467899127,-1.467899127,-1.467899127,-0.841356817,-1.467899127,-0.841356817,-0.841356817,-0.214814506,-1.467899127,-1.467899127,-0.841356817,-0.841356817,0.411727804,1.038270114,-0.214814506,-0.214814506,1.038270114,1.664812424,1.038270114,1.664812424,1.664812424,1.664812424,-0.214814506,2.291354735,-0.214814506,-0.214814506,1.038270114,1.664812424,0.411727804,0.411727804,1.664812424,1.664812424,0.411727804,1.664812424,-0.214814506,0.411727804
JE61,19,19,Int,Jordan,2,5,6,4,6,5,4,5,4,4,3,4,2,2,4,5,4,5,5,2,2,5,4,4,3,3,2,4,4,5,5,7,2,2,3,1,3,5,2,2,3,2,5,6,7,7,4,6,4,6,5,4,4,3,3,2,3,5,3,4,5,4,2,1,2,2,3,2,3,2,4,2,1.153926558,-0.865444919,-1.538568745,-0.192321093,-1.538568745,-0.865444919,-0.192321093,-0.865444919,-0.192321093,-0.192321093,0.480802733,-0.192321093,1.153926558,1.153926558,-0.192321093,-0.865444919,-0.192321093,-0.865444919,-0.865444919,1.153926558,1.153926558,-0.865444919,-0.192321093,-0.192321093,0.480802733,0.480802733,1.153926558,-0.192321093,-0.192321093,-0.865444919,-0.865444919,-2.21169257,1.153926558,1.153926558,0.480802733,1.827050384,0.480802733,-0.865444919,1.153926558,1.153926558,0.480802733,1.153926558,-0.865444919,-1.538568745,-2.21169257,-2.21169257,-0.192321093,-1.538568745,-0.192321093,-1.538568745,-0.865444919,-0.192321093,-0.192321093,0.480802733,0.480802733,1.153926558,0.480802733,-0.865444919,0.480802733,-0.192321093,-0.865444919,-0.192321093,1.153926558,1.827050384,1.153926558,1.153926558,0.480802733,1.153926558,0.480802733,1.153926558,-0.192321093,1.153926558
JE09,20,20,Int,Jordan,6,7,6,7,3,7,5,7,7,7,5,7,5,4,4,5,4,7,3,2,4,7,5,5,7,7,5,4,4,7,7,5,7,7,6,6,4,6,4,6,7,7,7,7,3,2,3,5,3,5,2,3,2,2,4,3,1,1,1,4,1,5,3,1,4,1,3,2,5,4,3,3,-0.764686709,-1.274477848,-0.764686709,-1.274477848,0.764686709,-1.274477848,-0.25489557,-1.274477848,-1.274477848,-1.274477848,-0.25489557,-1.274477848,-0.25489557,0.25489557,0.25489557,-0.25489557,0.25489557,-1.274477848,0.764686709,1.274477848,0.25489557,-1.274477848,-0.25489557,-0.25489557,-1.274477848,-1.274477848,-0.25489557,0.25489557,0.25489557,-1.274477848,-1.274477848,-0.25489557,-1.274477848,-1.274477848,-0.764686709,-0.764686709,0.25489557,-0.764686709,0.25489557,-0.764686709,-1.274477848,-1.274477848,-1.274477848,-1.274477848,0.764686709,1.274477848,0.764686709,-0.25489557,0.764686709,-0.25489557,1.274477848,0.764686709,1.274477848,1.274477848,0.25489557,0.764686709,1.784268987,1.784268987,1.784268987,0.25489557,1.784268987,-0.25489557,0.764686709,1.784268987,0.25489557,1.784268987,0.764686709,1.274477848,-0.25489557,0.25489557,0.764686709,0.764686709
JE48,18,20,Int,Jordan,7,7,7,7,7,7,7,5,7,1,7,7,1,1,1,1,3,2,7,5,7,4,5,5,5,1,7,1,1,5,1,7,5,5,1,5,1,4,7,7,7,7,1,7,7,7,5,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,2,1,1,1,1,4,1,1,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-0.591086879,-1.364471581,0.955682524,-1.364471581,-1.364471581,0.955682524,0.955682524,0.955682524,0.955682524,0.182297823,0.568990174,-1.364471581,-0.591086879,-1.364471581,-0.204394528,-0.591086879,-0.591086879,-0.591086879,0.955682524,-1.364471581,0.955682524,0.955682524,-0.591086879,0.955682524,-1.364471581,-0.591086879,-0.591086879,0.955682524,-0.591086879,0.955682524,-0.204394528,-1.364471581,-1.364471581,-1.364471581,-1.364471581,0.955682524,-1.364471581,-1.364471581,-1.364471581,-0.591086879,0.182297823,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.182297823,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.182297823,0.955682524,0.568990174,0.955682524,0.955682524,0.955682524,0.955682524,-0.204394528,0.955682524,0.955682524
JE67,18,20,Int,Jordan,2,2,2,4,4,5,5,4,4,5,3,5,2,1,1,1,3,2,5,2,5,5,6,5,2,3,2,2,5,2,2,2,5,2,1,2,3,3,2,2,3,2,1,2,3,2,2,1,2,3,2,1,2,2,2,2,2,2,1,2,2,1,2,3,3,2,2,2,2,2,3,2,0.488286438,0.488286438,0.488286438,-1.065352228,-1.065352228,-1.842171561,-1.842171561,-1.065352228,-1.065352228,-1.842171561,-0.288532895,-1.842171561,0.488286438,1.265105771,1.265105771,1.265105771,-0.288532895,0.488286438,-1.842171561,0.488286438,-1.842171561,-1.842171561,-2.618990894,-1.842171561,0.488286438,-0.288532895,0.488286438,0.488286438,-1.842171561,0.488286438,0.488286438,0.488286438,-1.842171561,0.488286438,1.265105771,0.488286438,-0.288532895,-0.288532895,0.488286438,0.488286438,-0.288532895,0.488286438,1.265105771,0.488286438,-0.288532895,0.488286438,0.488286438,1.265105771,0.488286438,-0.288532895,0.488286438,1.265105771,0.488286438,0.488286438,0.488286438,0.488286438,0.488286438,0.488286438,1.265105771,0.488286438,0.488286438,1.265105771,0.488286438,-0.288532895,-0.288532895,0.488286438,0.488286438,0.488286438,0.488286438,0.488286438,-0.288532895,0.488286438
JE58,18,21,Int,Jordan,7,7,7,7,1,7,1,1,7,2,5,2,5,2,3,4,4,1,5,4,5,7,5,7,7,3,1,6,1,7,1,4,3,1,3,7,7,7,7,6,7,1,7,1,7,6,2,3,3,3,3,3,3,2,3,1,1,1,2,1,1,5,1,5,1,1,1,1,1,4,2,3,-1.488232192,-1.488232192,-1.488232192,-1.488232192,1.105367479,-1.488232192,1.105367479,1.105367479,-1.488232192,0.673100867,-0.623698969,0.673100867,-0.623698969,0.673100867,0.240834255,-0.191432357,-0.191432357,1.105367479,-0.623698969,-0.191432357,-0.623698969,-1.488232192,-0.623698969,-1.488232192,-1.488232192,0.240834255,1.105367479,-1.055965581,1.105367479,-1.488232192,1.105367479,-0.191432357,0.240834255,1.105367479,0.240834255,-1.488232192,-1.488232192,-1.488232192,-1.488232192,-1.055965581,-1.488232192,1.105367479,-1.488232192,1.105367479,-1.488232192,-1.055965581,0.673100867,0.240834255,0.240834255,0.240834255,0.240834255,0.240834255,0.240834255,0.673100867,0.240834255,1.105367479,1.105367479,1.105367479,0.673100867,1.105367479,1.105367479,-0.623698969,1.105367479,-0.623698969,1.105367479,1.105367479,1.105367479,1.105367479,1.105367479,-0.191432357,0.673100867,0.240834255
JE60,19,21,Int,Jordan,3,5,3,5,3,4,3,6,4,5,5,3,2,3,5,4,4,2,2,6,3,4,4,6,5,7,7,5,6,7,7,4,6,6,4,5,5,5,6,6,6,7,6,3,6,6,4,6,7,3,7,5,4,2,5,2,2,1,1,5,2,1,2,5,4,5,4,3,5,4,2,5,0.829442349,-0.367690938,0.829442349,-0.367690938,0.829442349,0.230875705,0.829442349,-0.966257581,0.230875705,-0.367690938,-0.367690938,0.829442349,1.428008992,0.829442349,-0.367690938,0.230875705,0.230875705,1.428008992,1.428008992,-0.966257581,0.829442349,0.230875705,0.230875705,-0.966257581,-0.367690938,-1.564824225,-1.564824225,-0.367690938,-0.966257581,-1.564824225,-1.564824225,0.230875705,-0.966257581,-0.966257581,0.230875705,-0.367690938,-0.367690938,-0.367690938,-0.966257581,-0.966257581,-0.966257581,-1.564824225,-0.966257581,0.829442349,-0.966257581,-0.966257581,0.230875705,-0.966257581,-1.564824225,0.829442349,-1.564824225,-0.367690938,0.230875705,1.428008992,-0.367690938,1.428008992,1.428008992,2.026575635,2.026575635,-0.367690938,1.428008992,2.026575635,1.428008992,-0.367690938,0.230875705,-0.367690938,0.230875705,0.829442349,-0.367690938,0.230875705,1.428008992,-0.367690938
JE11,19,22,Int,Jordan,4,3,6,4,4,3,4,4,3,3,6,7,2,5,4,2,6,7,6,6,3,5,7,2,7,7,7,4,4,5,5,4,6,5,7,4,4,6,5,6,5,5,5,4,5,6,3,4,5,1,1,2,3,2,7,1,1,1,5,2,5,2,5,5,2,4,5,4,3,4,2,2,0.130294973,0.700335479,-1.00978604,0.130294973,0.130294973,0.700335479,0.130294973,0.130294973,0.700335479,0.700335479,-1.00978604,-1.579826546,1.270375985,-0.439745533,0.130294973,1.270375985,-1.00978604,-1.579826546,-1.00978604,-1.00978604,0.700335479,-0.439745533,-1.579826546,1.270375985,-1.579826546,-1.579826546,-1.579826546,0.130294973,0.130294973,-0.439745533,-0.439745533,0.130294973,-1.00978604,-0.439745533,-1.579826546,0.130294973,0.130294973,-1.00978604,-0.439745533,-1.00978604,-0.439745533,-0.439745533,-0.439745533,0.130294973,-0.439745533,-1.00978604,0.700335479,0.130294973,-0.439745533,1.840416491,1.840416491,1.270375985,0.700335479,1.270375985,-1.579826546,1.840416491,1.840416491,1.840416491,-0.439745533,1.270375985,-0.439745533,1.270375985,-0.439745533,-0.439745533,1.270375985,0.130294973,-0.439745533,0.130294973,0.700335479,0.130294973,1.270375985,1.270375985
JE31,28,22,Int,Jordan,5,1,5,7,4,4,5,5,4,5,5,6,3,2,2,1,2,4,7,7,2,5,7,3,5,7,6,2,5,5,2,5,3,5,2,5,5,4,3,2,2,1,4,3,2,5,6,2,2,3,3,3,3,3,3,3,4,3,5,2,2,1,4,3,4,2,3,4,2,4,2,2,-0.836610629,1.655421031,-0.836610629,-2.082626459,-0.213602714,-0.213602714,-0.836610629,-0.836610629,-0.213602714,-0.836610629,-0.836610629,-1.459618544,0.409405201,1.032413116,1.032413116,1.655421031,1.032413116,-0.213602714,-2.082626459,-2.082626459,1.032413116,-0.836610629,-2.082626459,0.409405201,-0.836610629,-2.082626459,-1.459618544,1.032413116,-0.836610629,-0.836610629,1.032413116,-0.836610629,0.409405201,-0.836610629,1.032413116,-0.836610629,-0.836610629,-0.213602714,0.409405201,1.032413116,1.032413116,1.655421031,-0.213602714,0.409405201,1.032413116,-0.836610629,-1.459618544,1.032413116,1.032413116,0.409405201,0.409405201,0.409405201,0.409405201,0.409405201,0.409405201,0.409405201,-0.213602714,0.409405201,-0.836610629,1.032413116,1.032413116,1.655421031,-0.213602714,0.409405201,-0.213602714,1.032413116,0.409405201,-0.213602714,1.032413116,-0.213602714,1.032413116,1.032413116
JE65,23,22,Int,Jordan,4,4,5,4,4,5,4,5,4,4,4,6,2,2,2,1,2,1,4,4,2,5,5,6,4,5,4,4,5,4,4,5,2,4,4,3,4,4,4,4,3,4,3,4,4,3,3,4,4,4,3,4,4,3,3,4,4,5,4,3,3,4,4,4,3,3,4,3,4,4,4,4,-0.260232259,-0.260232259,-1.272246601,-0.260232259,-0.260232259,-1.272246601,-0.260232259,-1.272246601,-0.260232259,-0.260232259,-0.260232259,-2.284260943,1.763796424,1.763796424,1.763796424,2.775810766,1.763796424,2.775810766,-0.260232259,-0.260232259,1.763796424,-1.272246601,-1.272246601,-2.284260943,-0.260232259,-1.272246601,-0.260232259,-0.260232259,-1.272246601,-0.260232259,-0.260232259,-1.272246601,1.763796424,-0.260232259,-0.260232259,0.751782082,-0.260232259,-0.260232259,-0.260232259,-0.260232259,0.751782082,-0.260232259,0.751782082,-0.260232259,-0.260232259,0.751782082,0.751782082,-0.260232259,-0.260232259,-0.260232259,0.751782082,-0.260232259,-0.260232259,0.751782082,0.751782082,-0.260232259,-0.260232259,-1.272246601,-0.260232259,0.751782082,0.751782082,-0.260232259,-0.260232259,-0.260232259,0.751782082,0.751782082,-0.260232259,0.751782082,-0.260232259,-0.260232259,-0.260232259,-0.260232259
